start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
274.071,274.193,0.122,C6,84,1046.5,83.6,0.859,
274.199,274.622,0.424,E6,88,1318.51,87.6,0.946,
274.791,274.977,0.186,D5,74,587.33,74.0,0.686,
279.493,279.632,0.139,B5,83,987.77,83.4,0.28,
279.737,279.841,0.104,D6,86,1174.66,86.0,0.878,
279.876,279.992,0.116,G#6,92,1661.22,91.8,0.616,
280.729,280.938,0.209,B6,95,1975.53,95.0,0.946,
281.031,281.188,0.157,E6,88,1318.51,87.5,0.616,
281.786,282.024,0.238,B6,95,1975.53,94.9,0.616,
283.034,283.138,0.104,B6,95,1975.53,95.3,0.616,
283.434,283.521,0.087,D#6,87,1244.51,87.0,0.372,
